"No","Formula","Name","Molwt","Tfp","Tb","Tc","Pc","Vc","Zc","Omega","Dipm","CpA","CpB","CpC","CpD","dHf","dGf","Eq","VpA","VpB","VpC","VpD","Tmin","Tmax","Lden","Tden"
1,"AlBr3","aluminum tribromide",266.69,370.70,528.00,763.00,28.90,310.00,0.14,0.39,5.00,64.90,0.06,-7.306e-05,2.978e-08,-423300.00,-452200.00,0.00,,,,,,,,
2,"AlCl3","aluminum trichloride",133.34,467.00,453.00,620.00,26.30,259.00,0.13,0.66,2.00,50.54,0.10,-1.202e-04,4.793e-08,-584900.00,-570400.00,0.00,,,,,,,1.31,473.00
3,"AlI3","aluminum triiodide",407.69,464.00,655.00,983.00,,408.00,,,2.30,62.70,0.06,-8.113e-05,3.298e-08,-205200.00,-253100.00,0.00,,,,,,,,
4,"Ar","argon",39.94,83.80,87.30,150.80,48.70,74.90,0.29,1.0e-03,0.00,20.80,,,,0.00,0.00,1.00,-5.90,1.12,-0.76,-1.62,84.00,150.80,1.37,90.00
5,"As","arsenic",74.92,,888.00,1673.00,223.00,34.90,0.05,0.12,,,,,,,,0.00,,,,,,,,
6,"AsCl3","arsenic trichloride",181.28,264.70,403.00,654.00,,252.00,,,1.60,,,,,,,0.00,,,,,,,2.16,293.00
7,"BBr3","boron tribromide",250.56,227.00,364.00,581.00,,272.00,,,0.00,43.31,0.11,-1.267e-04,4.849e-08,-204300.00,-231200.00,0.00,,,,,,,2.64,291.00
8,"BCl3","boron trichloride",117.19,165.90,285.80,455.00,38.70,239.50,0.24,0.14,0.00,32.61,0.13,-1.461e-04,5.439e-08,-403200.00,-388200.00,2.00,46.10,4443.16,-5.40,2228.00,230.00,455.00,1.34,284.00
9,"BF3","boron trifluoride",67.80,146.50,172.00,260.80,49.90,114.70,0.26,0.39,0.00,18.58,0.13,-1.217e-04,3.916e-08,-1136000.00,-1120000.00,2.00,61.13,3481.19,-7.96,576.00,160.00,260.80,2.81,293.00
10,"BI3","boron triiodide",391.55,323.10,483.00,773.00,,356.00,,,,49.37,0.10,-1.159e-04,4.529e-08,71180.00,20890.00,0.00,,,,,,,3.35,323.00
11,"Br2","bromine",159.80,266.00,331.90,588.00,103.00,127.20,0.26,0.10,0.20,33.86,0.01,-1.192e-05,4.534e-09,30930.00,3136.00,3.00,9.22,2582.32,-51.56,,259.00,354.00,3.11,293.00
12,"BrI","iodine bromide",206.81,315.00,389.00,719.00,,139.00,,,1.20,34.02,0.01,-1.42e-05,5.847e-09,409100.00,3714.00,0.00,,,,,,,,
13,"Br3P","phosphorus tribromide",270.72,233.00,446.10,711.00,,300.00,,,0.50,61.02,0.07,-8.899e-05,3.631e-08,-128500.00,-157500.00,0.00,,,,,,,2.85,288.00
14,"Br4SI","silicon tetrabromide",347.70,278.60,427.00,663.00,,382.00,,,0.00,74.66,0.10,-1.298e-04,5.246e-08,-415900.00,-432400.00,0.00,,,,,,,2.77,298.00
15,"Br4Ti","titanium tetrabromide",367.53,312.00,503.00,795.70,,391.00,,,,84.49,0.07,-9.361e-05,3.826e-08,-550600.00,-569500.00,0.00,,,,,,,,
16,"ClFO3","perchloryl fluoride",102.44,125.50,226.40,368.40,53.70,160.80,0.28,0.17,0.00,12.45,0.23,-2.346e-04,8.321e-08,-21440.00,50620.00,0.00,,,,,,,2.00,399.00
17,"ClF2N","nitrogen chloride difluoride",87.45,,207.00,337.50,51.50,,,0.15,,,,,,,,0.00,,,,,,,,
18,"ClF2P","phosphorus chloride difluoride",104.42,,225.90,362.40,45.20,,,0.16,,,,,,,,0.00,,,,,,,,
19,"ClF2PS","thiophosphoryl chloride difluoride",136.48,,279.00,439.20,41.40,,,0.20,,,,,,,,0.00,,,,,,,,
20,"ClF5","chlorine pentafluoride",130.43,,260.00,416.00,52.70,233.00,0.35,0.21,,30.98,0.32,-3.685e-04,1.462e-07,-238600.00,-146900.00,0.00,,,,,,,,
21,"ClNO","nitrosyl chloride",65.45,213.50,267.70,440.00,,,,,1.80,34.10,0.04,-3.34e-05,1.015e-08,52630.00,66990.00,2.00,29.76,3748.59,-2.81,900.00,230.00,440.00,1.42,261.00
22,"Cl2","chlorine",70.90,172.20,239.20,416.90,79.80,123.80,0.28,0.09,0.00,26.93,0.03,-3.869e-05,1.547e-08,0.00,0.00,1.00,-6.34,1.15,-1.40,-2.23,206.00,416.90,1.56,239.00
23,"Cl2FP","phosphorus dichloride fluoride",120.87,,287.00,463.00,49.60,,,0.17,,,,,,,,0.00,,,,,,,,
24,"Cl3P","phosphorus trichloride",137.33,161.00,349.10,563.00,,264.00,,,0.90,48.49,0.11,-1.334e-04,5.38e-08,-271300.00,-257700.00,0.00,,,,,,,1.57,294.00
